title,summary,pdf_url,arxiv_link
Gender Representation and Bias in Indian Civil Service Mock Interviews,"This paper makes three key contributions. First, via a substantial corpus of
51,278 interview questions sourced from 888 YouTube videos of mock interviews
of Indian civil service candidates, we demonstrate stark gender bias in the
broad nature of questions asked to male and female candidates. Second, our
experiments with large language models show a strong presence of gender bias in
explanations provided by the LLMs on the gender inference task. Finally, we
present a novel dataset of 51,278 interview questions that can inform future
social science studies.",http://arxiv.org/pdf/2409.12194v2,http://arxiv.org/abs/2409.12194v2
DynaMo: In-Domain Dynamics Pretraining for Visuo-Motor Control,"Imitation learning has proven to be a powerful tool for training complex
visuomotor policies. However, current methods often require hundreds to
thousands of expert demonstrations to handle high-dimensional visual
observations. A key reason for this poor data efficiency is that visual
representations are predominantly either pretrained on out-of-domain data or
trained directly through a behavior cloning objective. In this work, we present
DynaMo, a new in-domain, self-supervised method for learning visual
representations. Given a set of expert demonstrations, we jointly learn a
latent inverse dynamics model and a forward dynamics model over a sequence of
image embeddings, predicting the next frame in latent space, without
augmentations, contrastive sampling, or access to ground truth actions.
Importantly, DynaMo does not require any out-of-domain data such as Internet
datasets or cross-embodied datasets. On a suite of six simulated and real
environments, we show that representations learned with DynaMo significantly
improve downstream imitation learning performance over prior self-supervised
learning objectives, and pretrained representations. Gains from using DynaMo
hold across policy classes such as Behavior Transformer, Diffusion Policy, MLP,
and nearest neighbors. Finally, we ablate over key components of DynaMo and
measure its impact on downstream policy performance. Robot videos are best
viewed at https://dynamo-ssl.github.io",http://arxiv.org/pdf/2409.12192v1,http://arxiv.org/abs/2409.12192v1
Qwen2-VL: Enhancing Vision-Language Model's Perception of the World at Any Resolution,"We present the Qwen2-VL Series, an advanced upgrade of the previous Qwen-VL
models that redefines the conventional predetermined-resolution approach in
visual processing. Qwen2-VL introduces the Naive Dynamic Resolution mechanism,
which enables the model to dynamically process images of varying resolutions
into different numbers of visual tokens. This approach allows the model to
generate more efficient and accurate visual representations, closely aligning
with human perceptual processes. The model also integrates Multimodal Rotary
Position Embedding (M-RoPE), facilitating the effective fusion of positional
information across text, images, and videos. We employ a unified paradigm for
processing both images and videos, enhancing the model's visual perception
capabilities. To explore the potential of large multimodal models, Qwen2-VL
investigates the scaling laws for large vision-language models (LVLMs). By
scaling both the model size-with versions at 2B, 8B, and 72B parameters-and the
amount of training data, the Qwen2-VL Series achieves highly competitive
performance. Notably, the Qwen2-VL-72B model achieves results comparable to
leading models such as GPT-4o and Claude3.5-Sonnet across various multimodal
benchmarks, outperforming other generalist models. Code is available at
\url{https://github.com/QwenLM/Qwen2-VL}.",http://arxiv.org/pdf/2409.12191v1,http://arxiv.org/abs/2409.12191v1
Massively Multi-Person 3D Human Motion Forecasting with Scene Context,"Forecasting long-term 3D human motion is challenging: the stochasticity of
human behavior makes it hard to generate realistic human motion from the input
sequence alone. Information on the scene environment and the motion of nearby
people can greatly aid the generation process. We propose a scene-aware social
transformer model (SAST) to forecast long-term (10s) human motion motion.
Unlike previous models, our approach can model interactions between both widely
varying numbers of people and objects in a scene. We combine a temporal
convolutional encoder-decoder architecture with a Transformer-based bottleneck
that allows us to efficiently combine motion and scene information. We model
the conditional motion distribution using denoising diffusion models. We
benchmark our approach on the Humans in Kitchens dataset, which contains 1 to
16 persons and 29 to 50 objects that are visible simultaneously. Our model
outperforms other approaches in terms of realism and diversity on different
metrics and in a user study. Code is available at
https://github.com/felixbmuller/SAST.",http://arxiv.org/pdf/2409.12189v1,http://arxiv.org/abs/2409.12189v1
SPECTER: An Instrument Concept for CMB Spectral Distortion Measurements with Enhanced Sensitivity,"Deviations of the cosmic microwave background (CMB) energy spectrum from a
perfect blackbody uniquely probe a wide range of physics, ranging from
fundamental physics in the primordial Universe ($\mu$-distortion) to late-time
baryonic feedback processes (y-distortion). While the y-distortion can be
detected with a moderate increase in sensitivity over that of COBE/FIRAS, the
$\Lambda$CDM-predicted $\mu$-distortion is roughly two orders of magnitude
smaller and requires substantial improvements, with foregrounds presenting a
serious obstacle. Within the standard model, the dominant contribution to $\mu$
arises from energy injected via Silk damping, yielding sensitivity to the
primordial power spectrum at wavenumbers $k \approx 1-10^{4}$ Mpc$^{-1}$. Here,
we present a new instrument concept, SPECTER, with the goal of robustly
detecting $\mu$. The instrument technology is similar to that of LiteBIRD, but
with an absolute temperature calibration system. Using a Fisher approach, we
optimize the instrument's configuration to target $\mu$ while robustly
marginalizing over foreground contaminants. Unlike
Fourier-transform-spectrometer-based designs, the specific bands and their
individual sensitivities can be independently set in this instrument, allowing
significant flexibility. We forecast SPECTER to observe the
$\Lambda$CDM-predicted $\mu$-distortion at $\approx 5\sigma$ (10$\sigma$)
assuming an observation time of 1 (4) year(s) (corresponding to mission
duration of 2 (8) years), after foreground marginalization. Our optimized
configuration includes 16 bands spanning 1-2000 GHz with degree-scale angular
resolution at 150 GHz and 1046 total detectors. SPECTER will additionally
measure the y-distortion at sub-percent precision and its relativistic
correction at percent-level precision, yielding tight constraints on the total
thermal energy and mean temperature of ionized gas.",http://arxiv.org/pdf/2409.12188v1,http://arxiv.org/abs/2409.12188v1
Exoplanet accretion monitoring spectroscopic survey (ENTROPY) I. Evidence for magnetospheric accretion in the young isolated planetary-mass object 2MASS J11151597+1937266,"Accretion among planets is a poorly understood phenomenon, due to lack of
both observational and theoretical studies. Detection of emission lines from
accreting gas giants facilitate detailed investigations into this process. This
work presents a detailed analysis of Balmer lines from one of the few known
young, planetary-mass objects with observed emission, the isolated L2 dwarf
2MASS J11151597+1937266 with a mass 7-21 Mj and age 5-45 Myr, located at 45+-2
pc. We obtained the first high-resolution (R~50,000) spectrum of the target
with VLT/UVES, a spectrograph in the near-UV to visible wavelengths (3200-6800
AA). We report resolved H3-H6 and He I (5875.6 AA) emission in the spectrum.
Based on the asymmetric line profiles of H3 and H4, 10% width of H3 (199+-1
km/s), tentative He I 6678 AA emission and indications of a disk from MIR
excess, we confirm ongoing accretion at this object. Using the Gaia update of
the parallax, we revise its temperature to 1816+-63 K and radius to 1.5+-0.1
Rj. Analysis of observed H I profiles using 1D planet-surface shock model
implies a pre-shock gas velocity of v0=120(+80,-40) km/s and a pre-shock
density of log(n0/cm^-3)=14(+0,-5). Pre-shock velocity points to a mass of
6(+8,-4) Mj for the target. Combining the H I line luminosities and planetary
Lline-Lacc scaling relations, we derive a mass accretion rate of
1.4(+2.8,-0.9)x10^-8 Mj/yr.",http://arxiv.org/pdf/2409.12187v1,http://arxiv.org/abs/2409.12187v1
Qwen2.5-Coder Technical Report,"In this report, we introduce the Qwen2.5-Coder series, a significant upgrade
from its predecessor, CodeQwen1.5. This series includes two models:
Qwen2.5-Coder-1.5B and Qwen2.5-Coder-7B. As a code-specific model,
Qwen2.5-Coder is built upon the Qwen2.5 architecture and continues pretrained
on a vast corpus of over 5.5 trillion tokens. Through meticulous data cleaning,
scalable synthetic data generation, and balanced data mixing, Qwen2.5-Coder
demonstrates impressive code generation capabilities while retaining general
versatility. The model has been evaluated on a wide range of code-related
tasks, achieving state-of-the-art (SOTA) performance across more than 10
benchmarks, including code generation, completion, reasoning, and repair,
consistently outperforming larger models of the same model size. We believe
that the release of the Qwen2.5-Coder series will not only push the boundaries
of research in code intelligence but also, through its permissive licensing,
encourage broader adoption by developers in real-world applications.",http://arxiv.org/pdf/2409.12186v1,http://arxiv.org/abs/2409.12186v1
To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning,"Chain-of-thought (CoT) via prompting is the de facto method for eliciting
reasoning capabilities from large language models (LLMs). But for what kinds of
tasks is this extra ``thinking'' really helpful? To analyze this, we conducted
a quantitative meta-analysis covering over 100 papers using CoT and ran our own
evaluations of 20 datasets across 14 models. Our results show that CoT gives
strong performance benefits primarily on tasks involving math or logic, with
much smaller gains on other types of tasks. On MMLU, directly generating the
answer without CoT leads to almost identical accuracy as CoT unless the
question or model's response contains an equals sign, indicating symbolic
operations and reasoning. Following this finding, we analyze the behavior of
CoT on these problems by separating planning and execution and comparing
against tool-augmented LLMs. Much of CoT's gain comes from improving symbolic
execution, but it underperforms relative to using a symbolic solver. Our
results indicate that CoT can be applied selectively, maintaining performance
while saving inference costs. Furthermore, they suggest a need to move beyond
prompt-based CoT to new paradigms that better leverage intermediate computation
across the whole range of LLM applications.",http://arxiv.org/pdf/2409.12183v1,http://arxiv.org/abs/2409.12183v1
A Controlled Study on Long Context Extension and Generalization in LLMs,"Broad textual understanding and in-context learning require language models
that utilize full document contexts. Due to the implementation challenges
associated with directly training long-context models, many methods have been
proposed for extending models to handle long contexts. However, owing to
differences in data and model classes, it has been challenging to compare these
approaches, leading to uncertainty as to how to evaluate long-context
performance and whether it differs from standard evaluation. We implement a
controlled protocol for extension methods with a standardized evaluation,
utilizing consistent base models and extension data. Our study yields several
insights into long-context behavior. First, we reaffirm the critical role of
perplexity as a general-purpose performance indicator even in longer-context
tasks. Second, we find that current approximate attention methods
systematically underperform across long-context tasks. Finally, we confirm that
exact fine-tuning based methods are generally effective within the range of
their extension, whereas extrapolation remains challenging. All codebases,
models, and checkpoints will be made available open-source, promoting
transparency and facilitating further research in this critical area of AI
development.",http://arxiv.org/pdf/2409.12181v1,http://arxiv.org/abs/2409.12181v1
Finetuning Language Models to Emit Linguistic Expressions of Uncertainty,"Large language models (LLMs) are increasingly employed in information-seeking
and decision-making tasks. Despite their broad utility, LLMs tend to generate
information that conflicts with real-world facts, and their persuasive style
can make these inaccuracies appear confident and convincing. As a result,
end-users struggle to consistently align the confidence expressed by LLMs with
the accuracy of their predictions, often leading to either blind trust in all
outputs or a complete disregard for their reliability. In this work, we explore
supervised finetuning on uncertainty-augmented predictions as a method to
develop models that produce linguistic expressions of uncertainty.
Specifically, we measure the calibration of pre-trained models and then
fine-tune language models to generate calibrated linguistic expressions of
uncertainty. Through experiments on various question-answering datasets, we
demonstrate that LLMs are well-calibrated in assessing their predictions, and
supervised finetuning based on the model's own confidence leads to
well-calibrated expressions of uncertainty, particularly for single-claim
answers.",http://arxiv.org/pdf/2409.12180v1,http://arxiv.org/abs/2409.12180v1
